Door Schedule,,,,,,
Assembly Code,Count,Height,Width,Level,Thickness,Type Mark
,,,,,,
B2030100,1,5' - 10 3/4",3' - 5 29/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 6 1/4",Level 4,,9
B2030100,1,5' - 10 3/4",4' - 4 25/32",Level 4,,8
B2030100,1,5' - 10 3/4",2' - 6 7/8",Level 4,,9
B2030100,1,5' - 10 3/4",3' - 7 11/32",Level 4,,9
B2030100,1,5' - 10 3/4",3' - 0 1/4",Level 4,,9
B2030100,1,5' - 8 1/4",3' - 11 7/32",Level 4,,8
B2030100,1,5' - 10 3/4",3' - 6 15/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 5 1/4",Level 4,,9
B2030100,1,5' - 10 3/4",3' - 2 23/32",Level 4,,9
B2030100,1,5' - 10 3/4",3' - 3",Level 4,,9
B2030100,1,5' - 10 3/4",3' - 5",Level 4,,9
B2030100,1,5' - 10 3/4",6' - 11 3/4",Level 4,,8
B2030100,1,5' - 10 3/4",4' - 0 3/8",Level 4,,8
B2030100,1,5' - 10 3/4",3' - 4 3/4",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 9 19/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 10 1/4",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 11 1/4",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 10 1/4",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 10 19/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 10 19/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 10 19/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 10 29/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 10 19/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 10 27/32",Level 4,,9
B2030100,1,5' - 10 3/4",3' - 7 23/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 10 19/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 8 29/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 7 29/32",Level 4,,9
B2030100,1,5' - 10 3/4",3' - 7 11/32",Level 4,,9
B2030100,1,5' - 10 3/4",3' - 6 15/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 10 1/2",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 7 9/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 8 29/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 9 1/4",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 8 29/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 8 29/32",Level 4,,9
B2030100,1,5' - 10 3/4",3' - 3 5/32",Level 4,,9
B2030100,1,5' - 10 3/4",3' - 2 29/32",Level 4,,9
B2030100,1,5' - 10 3/4",3' - 2 1/4",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 8 1/16",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 8 9/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 7 19/32",Level 4,,9
B2030100,1,5' - 10 3/4",4' - 5 9/32",Level 4,,8
B2030200,1,6' - 8",5' - 8",Level 4,0' - 1 3/4",18
B2030200,1,6' - 8",5' - 8",Level 4,0' - 1 3/4",18
B2030200,1,6' - 8",5' - 8",Level 4,0' - 1 3/4",18
C1020,1,7' - 0",3' - 0",Level 4,0' - 2",1
B2030100,1,5' - 10 3/4",2' - 9 1/2",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 8 1/4",Level 4,,9
B2030100,1,5' - 10 3/4",5' - 0 9/32",Level 4,,8
C1020,1,7' - 0",3' - 0",Level 4,0' - 2",1
C1020,1,7' - 0",3' - 0",Level 4,0' - 2",1
C1020,1,6' - 8",2' - 10",Level 4,0' - 2",7
C1020,1,6' - 8",2' - 10",Level 4,0' - 2",7
C1020,1,6' - 8",2' - 10",Level 4,0' - 2",7
C1020,1,6' - 8",2' - 10",Level 4,0' - 2",7
C1020,1,6' - 8",2' - 10",Level 4,0' - 2",7
C1020,1,6' - 8",2' - 10",Level 4,0' - 2",7
B2030200,1,6' - 8",5' - 8",Level 4,0' - 1 3/4",18
C1020,1,6' - 8",2' - 6",Level 4,0' - 2",5
C1020,1,7' - 0",2' - 10",Level 4,0' - 2",2
C1020,1,7' - 0",2' - 10",Level 4,0' - 2",2
C1020,1,7' - 0",2' - 10",Level 4,0' - 2",2
B2030100,1,5' - 10 3/4",2' - 9 1/4",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 7 29/32",Level 4,,9
B2030100,1,5' - 10 3/4",2' - 6 19/32",Level 4,,9
C1020,1,7' - 0",2' - 10",Level 4,0' - 2",2
B2030100,1,5' - 10 3/4",2' - 5 1/2",Level 4,,9
B2030200,1,6' - 8",5' - 8",Level 4,0' - 1 3/4",18
B2030100,1,5' - 10 3/4",6' - 11 1/4",Level 4,,8
B2030200,1,6' - 8",5' - 8",Level 4,0' - 1 3/4",18
B2030100,1,5' - 8 1/4",5' - 7 23/32",Ground Level,,8
