Wall Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Assembly Code,Assembly Description,Base Constraint,Family and Type,Length,Structural Material,Top Constraint,Type,Width
,,,,,,,,,
4318 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 12",71' - 10 1/32",Clad - White,Up to level: Level 5,EXT W - 12",0' - 11 5/8"
3430 SF,B2010,Exterior Walls,Level 3,Basic Wall: EXT W - 1'6" 4,139' - 4 1/2",Clad - White,Up to level: Level 5,EXT W - 1'6" 4,1' - 6"
415 SF,B2010,Exterior Walls,Level 3,Basic Wall: EXT W - 1'9" 3,16' - 6",Clad - White,Up to level: Level 5,EXT W - 1'9" 3,1' - 9"
1455 SF,B2010,Exterior Walls,Level 3,Basic Wall: EXT W - 1'6" 2,56' - 6",Clad - White,Up to level: Level 5,EXT W - 1'6" 2,1' - 6"
1240 SF,B2010,Exterior Walls,Level 3,Basic Wall: EXT W - 1'9" 2,49' - 6",Clad - White,Up to level: Level 5,EXT W - 1'9" 2,1' - 9"
3418 SF,B2010,Exterior Walls,Level 3,Basic Wall: EXT W - 1'6" 3,138' - 8",Clad - White,Up to level: Level 5,EXT W - 1'6" 3,1' - 9"
4505 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1'6",75' - 10",Clad - White,Up to level: Level 5,EXT W - 1'6",1' - 6"
1158 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1',19' - 3 5/8",Clad - White,Up to level: Level 5,EXT W - 1',1' - 0"
424 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1'6",6' - 4 7/8",Clad - White,Up to level: Level 5,EXT W - 1'6",1' - 6"
1228 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1/2' 2,20' - 2 1/2",Clad - White,Up to level: Level 5,EXT W - 1/2' 2,0' - 6"
2010 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1/2',33' - 6",Clad - White,Up to level: Level 5,EXT W - 1/2',0' - 6"
1000 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1/2',16' - 11",Clad - White,Up to level: Level 5,EXT W - 1/2',0' - 6"
2160 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1'6",36' - 3",Clad - White,Up to level: Level 5,EXT W - 1'6",1' - 6"
450 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",7' - 6",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
120 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1',2' - 6",Clad - White,Up to level: Level 5,EXT W - 1',1' - 0"
120 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1',2' - 0",Clad - White,Up to level: Level 5,EXT W - 1',1' - 0"
210 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",3' - 10",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
840 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",14' - 8",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
540 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",9' - 0",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
360 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",6' - 0",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
575 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",10' - 1 1/2",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
135 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1'4",1' - 7",Clad - White,Up to level: Level 5,EXT W - 1'4",1' - 4"
360 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",6' - 0",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
480 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",8' - 0",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
180 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1',2' - 6",Clad - White,Up to level: Level 5,EXT W - 1',1' - 0"
180 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1',2' - 6",Clad - White,Up to level: Level 5,EXT W - 1',1' - 0"
120 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1',2' - 6",Clad - White,Up to level: Level 5,EXT W - 1',1' - 0"
200 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1'9",3' - 4",Clad - White,Up to level: Level 5,EXT W - 1'9",1' - 9"
70 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",1' - 2",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
205 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1'4",3' - 8 31/32",Clad - White,Up to level: Level 5,EXT W - 1'4",1' - 4"
705 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",12' - 4 31/32",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
540 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",10' - 2",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
280 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",4' - 8",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
